User_Questions,Bot_Response
What time do you usually open?,"We usually open Mon-Fri(8am-4pm) and Saturdays (9am-12pm), Online banking hours are avaliable 24/7"
How do I apply for and ACB smart card?,You would  have to go on the website and give your information regarding your account details.
What is your email address for your company ?,Our companies email address is customerservice@acbcaribbean.com.
What the location of your local branch?,Our local branch is found in Saint Johns Antigua & Barbuda.
How can I contact customer service?,You can reach them by phone at 1-268-481-4200 (headquarters) or 1-268-480-1177 (Customer Services) or via email at customerservice@acbcaribbean.com
What documents are required to open a new account?,"You would need a form of idenfication, proof of address, resent bank statements.."
What are the type of banking services ACB offers?,"ACB offers many banking services such as Personal banking (Savings and checking accounts ), Corporative and Business banking, Loans, Credit Cards, and Wealth Management. "
What is ACB's core mission?,"To create shared value and financial empowerment for stakeholders through exceptional, community-focused financial services. "
Where is the nearest ATM?,I can help you locate the nearest ACB ATM. Please tell me your location.
What are your interest rates?,Interest rates vary depending on the product. Which type of account or loan are you interested in?
What does ACB mean?,ACB means Antigua Commerical Bank.
How do I reset my online banking password?,"If you've forgotten your password, use the ""Forgot Password"" option on the online banking login page or contact our customer service for assistance."
I lost my debit card...What do I do?,"I'm sorry to hear that. Please contact us immediately to block your card and protect your account. If available, I can provide the emergency contact number."
What are your foreign exchange rates?,Foreign exchange rates change regularly. Which currency would you like information about?
Can I schedule an appointment?,Yes. I can guide you to request an appointment at a branch for banking services.
What should I do if i get a suspicious text or email from ACB?,"Beware of scams. ACB Caribean will NEVER ask questions about your PINS, bank information or full account details through a text message."
Is my money safe with ACB?,"Protecting customer information and funds is a top priority. We use security measures to help safeguard your accounts. Never share your PIN, password, or one-time verification codes with anyone."
Does ACB have an online banking platform amd mobile app?,"Yes. ACB features a full Digital Banking platform and the ACB Smart App, allowing customers to pay utility bills, transfer funds, and check balances on the go. "
I can't log in to online banking.,"I'm sorry you're having trouble. Please verify your username and password. If the issue continues, contact our customer support team for assistance."
How do I apply for a loan?,"You can apply for a personal, mortgage, or business loan by visiting a branch or completing an application if online applications are available. I can tell you more about our loan options."
Where are your ATMs located?,"We have Instant Teller ATMs at the Head Office, Village Walk Commercial Centre, Epicurean Fine Foods, V.C. Bird International Airport, Perry Bay Supermarket, Town House Mega Store, and in Codrington, Barbuda."
Can I apply for a loan online?,Yes! You can start a loan application through our online portal or app. You'll need proof of income and ID to complete it. 
What are you used for as an AI chatbot?,"Banking chatbots act as virtual assistants. They handle routine transactions, monitor spending, and provide personalized financial support."
How long does an international transfer take? ,"International transfers usually take 2-5 business days, depending on the destination country and receiving bank."
What documents do I need to open a business account?,"You'll need your business registration certificate, tax ID, valid ID for all signatories, and proof of business address. A branch rep can guide you through the rest!"
Can I pay my bills through the app?,"Yes! Just go to the ""Pay Bills"" section, select your provider, enter the amount, and confirm. Payments usually process within 24 hours"
Is there a minimum balance required for a checking account?,Our standard checking account requires a minimum balance of $100. Falling below this may incur a small monthly fee.
How do I dispute a transaction on my account?,"Sorry to hear that! Please contact our support team within 30 days of the transaction with the details, and we'll investigate right away"
How do I check my account balance?,"You can view your balance anytime by saying ""Account Balance"" or by visiting your Mobile Banking Portal securely."
Can I transfer funds between my accounts?,Yes! I can help you transfer your money from one account to another. Where should I transfer it to and from?
Can I set up automatic bill payments?,"Absolutely! Go to ""Manage Payments"" in the app, select the biller, choose your frequency, and you're all set."
Where can I find my routing number or account number?,You can find your routing and account numbers by logging into your Online Account Center and viewing your account details or checking the bottom of your paper checks.
I didn't make this transaction. How do I report fraud?," I can immediately freeze your card and connect you to our Fraud Department to dispute the charge. To get started, please share the date and amount of the unrecognized transaction."
What's the daily withdrawal limit on my debit card?,"Standard accounts have a daily withdrawal limit of $1,000. Need a higher limit? Let us know and we can look into it for you."
I forgot my password/username. How can I log in?,"You can recover your login details by clicking ""Forgot Username or Password"" on the Bank Login Page. Follow the on-screen instructions to reset your credentials via email or SMS."
Do you offer student accounts?,Yes! Our student account has no monthly fees and comes with a free debit card. Just bring your student ID and proof of enrollment. 
Hi,"Hello! I'm ACB Assist. I can help with accounts, loans, cards, FOREX, branches and more. What are you looking for today?"
Hello,"Hello! I'm ACB Assist. I can help with accounts, loans, cards, FOREX, branches and more. What are you looking for today?"
Hey there,"Hello! I'm ACB Assist. I can help with accounts, loans, cards, FOREX, branches and more. What are you looking for today?"
Good morning,"Hello! I'm ACB Assist. I can help with accounts, loans, cards, FOREX, branches and more. What are you looking for today?"
Good afternoon,"Hello! I'm ACB Assist. I can help with accounts, loans, cards, FOREX, branches and more. What are you looking for today?"
What do you know about?,"I can help with account opening, savings and chequing, loans and mortgages, credit and debit cards, digital banking, transfers, FOREX rates, fees, branch and ATM locations, and business banking. Just ask."
What topics can you answer?,"I can help with account opening, savings and chequing, loans and mortgages, credit and debit cards, digital banking, transfers, FOREX rates, fees, branch and ATM locations, and business banking. Just ask."
How can you help?,"I can help with account opening, savings and chequing, loans and mortgages, credit and debit cards, digital banking, transfers, FOREX rates, fees, branch and ATM locations, and business banking. Just ask."
help,"I can help with account opening, savings and chequing, loans and mortgages, credit and debit cards, digital banking, transfers, FOREX rates, fees, branch and ATM locations, and business banking. Just ask."
Can you see my account?,"I can help with general information about our products and services, but I don't have access to your personal account details. For anything account-specific, please log in to online banking or call us on 1-268-481-4200."
Do you know my balance?,"I can help with general information about our products and services, but I don't have access to your personal account details. For anything account-specific, please log in to online banking or call us on 1-268-481-4200."
Can you look up my details?,"I can help with general information about our products and services, but I don't have access to your personal account details. For anything account-specific, please log in to online banking or call us on 1-268-481-4200."
Why can't you tell me about my account?,"I can help with general information about our products and services, but I don't have access to your personal account details. For anything account-specific, please log in to online banking or call us on 1-268-481-4200."
Do you have access to my information?,"I can help with general information about our products and services, but I don't have access to your personal account details. For anything account-specific, please log in to online banking or call us on 1-268-481-4200."
What are you?,"I'm ACB Assist, ACB Caribbean's virtual assistant. I can answer questions about our products and services, point you to the right application form, or put you in touch with a person."
Are you a real person?,"I'm ACB Assist, ACB Caribbean's virtual assistant. I can answer questions about our products and services, point you to the right application form, or put you in touch with a person."
Are you a bot?,"I'm ACB Assist, ACB Caribbean's virtual assistant. I can answer questions about our products and services, point you to the right application form, or put you in touch with a person."
What can you do?,"I'm ACB Assist, ACB Caribbean's virtual assistant. I can answer questions about our products and services, point you to the right application form, or put you in touch with a person."
Are you available all the time?,"I'm here whenever you need. If you'd rather speak with someone, call 1-268-481-4200 or email customerservice@acbonline.com."
Can I chat with you at night?,"I'm here whenever you need. If you'd rather speak with someone, call 1-268-481-4200 or email customerservice@acbonline.com."
What hours are you available?,"I'm here whenever you need. If you'd rather speak with someone, call 1-268-481-4200 or email customerservice@acbonline.com."
Are you online 24/7?,"I'm here whenever you need. If you'd rather speak with someone, call 1-268-481-4200 or email customerservice@acbonline.com."
I have a question you might not know,"I'm not certain I've got that right, and I'd rather not guess on something that matters. Let me point you to our team — 1-268-481-4200, or customerservice@acbonline.com."
